"Thread-8", "289", "ReadersWriters.java:55", "Method Call", " caller=SYSTEM, target=Reader:4#run:4"
"Thread-8", "290", "ReadersWriters.java:54", "Method Entered", " "
"Thread-7", "291", "ReadersWriters.java:54", "Variable Write", " context=Reader:3#run:3, i=0"
"Thread-7", "292", "ReadersWriters.java:56", "Line Step", " file=ReadersWriters.java, line=56"
"Thread-6", "293", "ReadersWriters.java:56", "Field Read", " context=Reader:2, d"
"Thread-5", "294", "ReadersWriters.java:56", "Method Call", " caller=Reader:1#run:1, target=Database:1#request_read:1"
"Thread-5", "295", "ReadersWriters.java:97", "Method Entered", " "
"Thread-5", "296", "ReadersWriters.java:99", "Line Step", " file=ReadersWriters.java, line=99"
"Thread-0", "297", "ReadersWriters.java:79", "Line Step", " file=ReadersWriters.java, line=79"
"main", "298", "ReadersWriters.java:37", "Line Step", " file=ReadersWriters.java, line=37"
"Thread-9", "299", "SYSTEM", "Thread Start", " Thread-9 (44)"
"Thread-9", "300", "ReadersWriters.java:55", "Method Call", " caller=SYSTEM, target=Reader:5#run:5"
"Thread-9", "301", "ReadersWriters.java:54", "Method Entered", " "
"Thread-8", "302", "ReadersWriters.java:54", "Variable Write", " context=Reader:4#run:4, i=0"
"Thread-8", "303", "ReadersWriters.java:56", "Line Step", " file=ReadersWriters.java, line=56"
"Thread-7", "304", "ReadersWriters.java:56", "Field Read", " context=Reader:3, d"
"Thread-6", "305", "ReadersWriters.java:56", "Method Call", " caller=Reader:2#run:2, target=Database:1#request_read:2"
"Thread-6", "306", "ReadersWriters.java:97", "Method Entered", " "
"Thread-6", "307", "ReadersWriters.java:99", "Line Step", " file=ReadersWriters.java, line=99"
"Thread-5", "308", "ReadersWriters.java:99", "Field Read", " context=Database:1, s1"
"Thread-0", "309", "ReadersWriters.java:79", "Field Read", " context=Writer:1, d"
"main", "310", "ReadersWriters.java:38", "Line Step", " file=ReadersWriters.java, line=38"
"Thread-3", "311", "SYSTEM", "Thread Start", " Thread-3 (36)"
"Thread-3", "312", "ReadersWriters.java:74", "Method Call", " caller=SYSTEM, target=Writer:4#run:4"
"Thread-3", "313", "ReadersWriters.java:73", "Method Entered", " "
"Thread-9", "314", "ReadersWriters.java:54", "Variable Write", " context=Reader:5#run:5, i=0"
"Thread-9", "315", "ReadersWriters.java:56", "Line Step", " file=ReadersWriters.java, line=56"
"Thread-8", "316", "ReadersWriters.java:56", "Field Read", " context=Reader:4, d"
"Thread-7", "317", "ReadersWriters.java:56", "Method Call", " caller=Reader:3#run:3, target=Database:1#request_read:3"
"Thread-7", "318", "ReadersWriters.java:97", "Method Entered", " "
"Thread-7", "319", "ReadersWriters.java:99", "Line Step", " file=ReadersWriters.java, line=99"
"Thread-6", "320", "ReadersWriters.java:99", "Field Read", " context=Database:1, s1"
"Thread-5", "321", "ReadersWriters.java:100", "Line Step", " file=ReadersWriters.java, line=100"
"Thread-0", "322", "ReadersWriters.java:79", "Method Call", " caller=Writer:1#run:1, target=Database:1#request_write:1"
"Thread-0", "323", "ReadersWriters.java:140", "Method Entered", " "
"Thread-0", "324", "ReadersWriters.java:142", "Line Step", " file=ReadersWriters.java, line=142"
"main", "325", "ReadersWriters.java:39", "Line Step", " file=ReadersWriters.java, line=39"
"Thread-4", "326", "SYSTEM", "Thread Start", " Thread-4 (37)"
"Thread-4", "327", "ReadersWriters.java:74", "Method Call", " caller=SYSTEM, target=Writer:5#run:5"
"Thread-4", "328", "ReadersWriters.java:73", "Method Entered", " "
